Age,Sex,Race,Marital status?,Education,Incomes,Employement,book you read last 12m?,Read any printed books during last 12months?,Read any audiobooks during last 12months?,Read any e-books during last 12months?,Last book you read,Do you happen to read any daily news or newspapers?,Do you happen to read any magazines or journals?
32,Female,Native American/American Indian,Living with a partner,"Some college, no 4-year degree","$50,000 to under $75,000",Not employed for pay,50,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
41,Female,Mixed race,Married,Post-graduate training/professional school after college,"$30,000 to under $40,000",Disabled,50,Yes,No,No,Got the book some other way,No,No
26,Male,Asian or Pacific Islander,Living with a partner,"Some college, no 4-year degree","$20,000 to under $30,000",Employed full-time,50,Yes,No,Yes,Purchased the book,Yes,No
61,Female,Black or African-American,Married,Post-graduate training/professional school after college,"$40,000 to under $50,000",Employed full-time,50,Yes,Yes,Yes,Got the book some other way,No,No
59,Female,Black or African-American,Married,College graduate,"$100,000 to under $150,000",Employed full-time,50,Yes,No,No,Purchased the book,Yes,Yes
47,Female,Black or African-American,Married,College graduate,"$100,000 to under $150,000",Not employed for pay,50,Yes,No,Yes,Borrowed the book from a library,Yes,Yes
32,Female,Black or African-American,Living with a partner,Post-graduate training/professional school after college,"$50,000 to under $75,000",Employed full-time,50,Yes,No,No,Purchased the book,No,No
17,Male,Black or African-American,Never been married,High school incomplete,"$10,000 to under $20,000",Employed part-time,50,Yes,No,Yes,Borrowed the book from a library,No,No
90,Female,White,Widowed,Post-graduate training/professional school after college,"$30,000 to under $40,000",Retired,50,Yes,No,No,Purchased the book,No,Yes
84,Female,White,Married,Post-graduate training/professional school after college,Refused,Retired,50,Yes,No,Yes,Borrowed the book from a library,Yes,Yes
83,Female,White,Widowed,College graduate,"$20,000 to under $30,000",Retired,50,Yes,No,No,Purchased the book,Yes,Yes
80,Female,White,Widowed,High school graduate,"$10,000 to under $20,000",Employed full-time,50,Yes,No,No,Borrowed the book from a library,Yes,Yes
80,Female,White,Married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Retired,50,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes
78,Female,White,Married,"Some college, no 4-year degree","$50,000 to under $75,000",Retired,50,Yes,No,No,Purchased the book,No,Yes
78,Female,White,Widowed,Post-graduate training/professional school after college,"$20,000 to under $30,000",Retired,50,Yes,No,No,Purchased the book,Yes,Yes
78,Female,White,Married,High school graduate,"$30,000 to under $40,000",Retired,50,Yes,No,No,Purchased the book,No,Yes
77,Male,White,Married,Post-graduate training/professional school after college,"$20,000 to under $30,000",Retired,50,Yes,Yes,No,Purchased the book,Yes,Yes
77,Female,White,Widowed,High school graduate,"$40,000 to under $50,000",Retired,50,Yes,No,Yes,Borrowed the book from a library,Yes,No
76,Female,White,Widowed,College graduate,"9$100,000 to under $150,000",Retired,50,Yes,No,No,Purchased the book,Yes,Yes
75,Female,White,Widowed,Post-graduate training/professional school after college,"$50,000 to under $75,000",Employed part-time,50,Yes,Yes,No,Borrowed the book from a library,Yes,Yes
74,Female,White,Married,College graduate,"$40,000 to under $50,000",Retired,50,Yes,Yes,Yes,Purchased the book,Yes,Yes
72,Female,White,Married,"Some college, no 4-year degree","$30,000 to under $40,000",Retired,50,Yes,Yes,No,Purchased the book,Yes,Yes
70,Male,White,Married,College graduate,"$75,000 to under $100,000",Retired,50,Yes,No,No,Borrowed the book from a library,Yes,Yes
70,Female,White,Married,"Some college, no 4-year degree","$40,000 to under $50,000",Retired,50,Yes,No,No,Purchased the book,Yes,Yes
70,Female,White,Married,College graduate,"$10,000 to under $20,000",Retired,50,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
69,Male,White,Married,"Technical, trade or vocational school AFTER high school","$50,000 to under $75,000",Employed part-time,50,Yes,No,No,Purchased the book,No,Yes
68,Female,White,Married,"Some college, no 4-year degree","$50,000 to under $75,000",Retired,50,Yes,No,No,Borrowed the book from a library,Yes,No
68,Male,White,Married,College graduate,"$50,000 to under $75,000",Employed part-time,50,Yes,No,Yes,Purchased the book,No,Yes
66,Female,White,Single,Post-graduate training/professional school after college,"$30,000 to under $40,000",Retired,50,Yes,No,No,Purchased the book,Yes,Yes
66,Female,White,Married,Post-graduate training/professional school after college,Refused,Retired,50,Yes,No,No,Purchased the book,Yes,No
66,Female,White,Married,"Some college, no 4-year degree","$75,000 to under $100,000",Retired,50,Yes,No,Yes,Borrowed the book from a library,Yes,No
66,Male,White,Married,College graduate,"$100,000 to under $150,000",Retired,50,Yes,Yes,Yes,Purchased the book,Yes,Yes
65,Male,White,Married,"Some college, no 4-year degree","$100,000 to under $150,000",Retired,50,Yes,No,No,Got the book some other way,Yes,Yes
65,Male,White,Married,College graduate,"$30,000 to under $40,000",Retired,50,Yes,No,No,Borrowed the book from a library,No,No
65,Male,White,Married,High school graduate,"$50,000 to under $75,000",Retired,50,Yes,No,Yes,Borrowed the book from a library,No,Yes
65,Male,White,Married,Post-graduate training/professional school after college,"$75,000 to under $100,000",Retired,50,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,Yes
64,Male,White,Married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Retired,50,Yes,No,Yes,Purchased the book,Yes,No
64,Male,White,Married,"Some college, no 4-year degree","$50,000 to under $75,000",Employed full-time,50,Yes,Yes,Yes,Purchased the book,Yes,Yes
62,Female,White,Widowed,None,"9$100,000 to under $150,000",Employed full-time,50,Yes,No,No,Purchased the book,Yes,No
62,Male,White,Married,Post-graduate training/professional school after college,Refused,Employed full-time,50,Yes,No,Yes,Purchased the book,Yes,Yes
60,Female,White,Married,"Some college, no 4-year degree","$75,000 to under $100,000",Retired,50,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,No
60,Male,White,Married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Employed full-time,50,Yes,No,Yes,Purchased the book,Yes,Yes
60,Female,White,Widowed,High school incomplete,"$10,000 to under $20,000",Not employed for pay,50,Yes,No,No,Borrowed the book from a library,Yes,Yes
59,Female,White,Married,"Technical, trade or vocational school AFTER high school","$50,000 to under $75,000",Employed full-time,50,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
59,Female,White,Married,"Some college, no 4-year degree","$40,000 to under $50,000",Retired,50,Yes,No,No,Purchased the book,No,Yes
59,Male,White,Never been married,College graduate,"$100,000 to under $150,000",Employed full-time,50,Yes,No,No,Purchased the book,Yes,No
58,Female,White,Married,High school graduate,"$40,000 to under $50,000",Employed full-time,50,Yes,No,No,Purchased the book,Yes,Yes
58,Female,White,Married,"Some college, no 4-year degree","$100,000 to under $150,000",Disabled,50,Yes,Yes,No,Got the book some other way,Yes,Yes
58,Male,White,Married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Retired,50,Yes,No,Yes,Purchased the book,No,No
57,Female,White,Married,College graduate,Refused,Employed part-time,50,Yes,No,Yes,Borrowed the book from a library,No,Yes
55,Female,White,Married,Post-graduate training/professional school after college,Refused,Employed full-time,50,Yes,Yes,Yes,Purchased the book,Yes,Yes
55,Female,White,Never been married,"Some college, no 4-year degree","$40,000 to under $50,000",Employed full-time,50,Yes,No,No,Purchased the book,Yes,No
55,Female,White,Divorced,Post-graduate training/professional school after college,"$50,000 to under $75,000",Retired,50,Yes,No,No,Purchased the book,No,No
54,Male,White,Married,High school graduate,"$100,000 to under $150,000",Employed full-time,50,Yes,No,Yes,Purchased the book,Yes,No
53,Female,White,Separated,High school graduate,"Less than $10,000",Disabled,50,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
53,Female,White,Married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Not employed for pay,50,Yes,Yes,Yes,Purchased the book,Yes,Yes
53,Female,White,Never been married,"Some college, no 4-year degree","$40,000 to under $50,000",Employed full-time,50,Yes,Yes,Yes,Purchased the book,No,Yes
53,Female,White,Married,College graduate,"$75,000 to under $100,000",Employed full-time,50,Yes,No,Yes,Purchased the book,Yes,Yes
53,Female,White,Married,"Some college, no 4-year degree","$100,000 to under $150,000",Not employed for pay,50,Yes,No,No,Purchased the book,Yes,Yes
52,Male,White,Married,Post-graduate training/professional school after college,Refused,Employed full-time,50,Yes,No,Yes,Purchased the book,Yes,Yes
52,Female,White,Married,College graduate,"$40,000 to under $50,000",Employed full-time,50,Yes,No,Yes,Purchased the book,No,Yes
51,Male,White,Married,Post-graduate training/professional school after college,"$30,000 to under $40,000",Employed full-time,50,Yes,No,Yes,Purchased the book,No,No
51,Female,White,Divorced,College graduate,Refused,Employed full-time,50,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
50,Male,White,Married,College graduate,"$100,000 to under $150,000",Employed full-time,50,No,No,Yes,Purchased the book,Yes,No
50,Female,White,Married,College graduate,"$50,000 to under $75,000",Employed full-time,50,Yes,No,No,Borrowed the book from a library,Yes,Yes
50,Male,White,Married,College graduate,"$100,000 to under $150,000",Employed full-time,50,Yes,No,No,Purchased the book,Yes,Yes
49,Female,White,Married,College graduate,"$30,000 to under $40,000",Employed full-time,50,No,No,Yes,Purchased the book,No,Yes
48,Female,White,Married,Post-graduate training/professional school after college,Refused,Not employed for pay,50,Yes,No,No,Borrowed the book from a library,Yes,No
48,Female,White,Married,"Some college, no 4-year degree",Refused,Employed full-time,50,Yes,Yes,Yes,Borrowed the book from a friend or family member,Yes,Yes
47,Female,White,Married,High school graduate,"$75,000 to under $100,000",Employed full-time,50,Yes,No,Yes,Borrowed the book from a friend or family member,No,Yes
46,Female,White,Separated,College graduate,"$20,000 to under $30,000",Not employed for pay,50,Yes,Yes,No,Borrowed the book from a library,Yes,No
45,Male,White,Divorced,College graduate,"$75,000 to under $100,000",Employed full-time,50,Yes,No,Yes,Purchased the book,Yes,Yes
45,Male,White,Married,"Some college, no 4-year degree","$50,000 to under $75,000",Retired,50,Yes,Yes,No,Borrowed the book from a library,Yes,No
45,Male,White,Married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Employed full-time,50,Yes,Yes,Yes,Purchased the book,Yes,No
44,Female,White,Married,"Some college, no 4-year degree","$50,000 to under $75,000",Not employed for pay,50,Yes,No,Yes,Got the book some other way,No,No
44,Female,White,Never been married,College graduate,"$20,000 to under $30,000",Employed full-time,50,Yes,No,No,Purchased the book,No,No
42,Male,White,Married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Employed full-time,50,Yes,No,No,Purchased the book,Yes,No
42,Female,White,Never been married,College graduate,"$100,000 to under $150,000",Have own business/self-employed,50,Yes,No,Yes,Purchased the book,Yes,No
41,Female,White,Married,High school graduate,"$10,000 to under $20,000",Disabled,50,Yes,No,No,Purchased the book,No,No
41,Female,White,Separated,Post-graduate training/professional school after college,"Less than $10,000",Not employed for pay,50,Yes,No,Yes,Purchased the book,Yes,Yes
38,Male,White,Living with a partner,High school graduate,"$75,000 to under $100,000",Not employed for pay,50,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
37,Male,White,Divorced,High school incomplete,"$75,000 to under $100,000",Employed full-time,50,Yes,Yes,Yes,Purchased the book,No,No
37,Female,White,Married,"Technical, trade or vocational school AFTER high school","$30,000 to under $40,000",Employed part-time,50,Yes,Yes,Yes,Got the book some other way,No,Yes
36,Male,White,Married,"Some college, no 4-year degree",Refused,Employed full-time,50,Yes,Yes,Yes,Purchased the book,Yes,Yes
35,Female,White,Living with a partner,College graduate,"$20,000 to under $30,000",Employed full-time,50,Yes,No,No,Purchased the book,Yes,Yes
34,Female,White,Married,Post-graduate training/professional school after college,"$30,000 to under $40,000",Not employed for pay,50,No,No,Yes,Borrowed the book from a library,Yes,No
33,Male,White,Married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Employed full-time,50,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes
32,Female,White,Never been married,High school graduate,"$20,000 to under $30,000",Employed full-time,50,Yes,No,No,Borrowed the book from a library,Yes,No
30,Male,White,Never been married,High school incomplete,"9$100,000 to under $150,000",Disabled,50,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
29,Male,White,Married,High school graduate,"$10,000 to under $20,000",Employed part-time,50,Yes,Yes,Yes,Purchased the book,No,Yes
27,Female,White,Married,"Some college, no 4-year degree","9$100,000 to under $150,000",Employed full-time,50,Yes,Yes,Yes,Got the book some other way,Yes,No
27,Female,White,Married,"Some college, no 4-year degree","$50,000 to under $75,000",Not employed for pay,50,Yes,No,Yes,Purchased the book,No,No
26,Female,White,Married,"Some college, no 4-year degree","$100,000 to under $150,000",Have own business/self-employed,50,Yes,No,No,Purchased the book,Yes,No
25,Female,White,Married,"Some college, no 4-year degree","$50,000 to under $75,000",Employed full-time,50,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,No
23,Male,White,Never been married,College graduate,"$40,000 to under $50,000",Employed full-time,50,Yes,No,Yes,Purchased the book,Yes,Yes
22,Female,White,Never been married,College graduate,"9$100,000 to under $150,000",Employed full-time,50,Yes,Yes,No,Borrowed the book from a friend or family member,No,No
20,Female,White,Never been married,"Some college, no 4-year degree","$100,000 to under $150,000",Employed part-time,50,Yes,No,Yes,Purchased the book,Yes,Yes
19,Female,White,Never been married,"Some college, no 4-year degree","$50,000 to under $75,000",Employed part-time,50,Yes,No,No,Borrowed the book from a library,No,Yes
19,Female,White,Living with a partner,High school graduate,"9$100,000 to under $150,000",Employed part-time,50,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,Yes
19,Male,White,Never been married,High school incomplete,"9$100,000 to under $150,000",Not employed for pay,50,Yes,No,Yes,Got the book some other way,Yes,No
17,Male,White,Never been married,High school incomplete,"$50,000 to under $75,000",Employed part-time,50,Yes,No,No,Purchased the book,No,Yes
16,Male,White,Never been married,High school incomplete,"$10,000 to under $20,000",Not employed for pay,50,Yes,No,No,Got the book some other way,No,No
75,Female,White,Married,College graduate,Refused,Retired,48,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,Yes
67,Female,White,Divorced,"Some college, no 4-year degree","$40,000 to under $50,000",Retired,48,Yes,Yes,No,Purchased the book,Yes,No
60,Female,White,Widowed,"Some college, no 4-year degree",Refused,Not employed for pay,48,Yes,No,No,Purchased the book,Yes,No
55,Female,White,Married,"Some college, no 4-year degree","$100,000 to under $150,000",Employed full-time,48,Yes,Yes,Yes,Purchased the book,Yes,No
47,Female,White,Living with a partner,High school graduate,"$40,000 to under $50,000",Have own business/self-employed,48,Yes,No,No,Purchased the book,No,No
23,Male,Other,Never been married,"Some college, no 4-year degree","$20,000 to under $30,000",Not employed for pay,47,Yes,No,Yes,Got the book some other way,No,Yes
46,Male,White,Married,College graduate,"$100,000 to under $150,000",Employed full-time,47,Yes,No,Yes,Got the book some other way,Yes,Yes
27,Female,Black or African-American,Never been married,High school graduate,"Less than $10,000",Employed full-time,45,Yes,No,No,Purchased the book,Yes,Yes
22,Female,Black or African-American,Never been married,"Some college, no 4-year degree","$10,000 to under $20,000",Employed full-time,45,Yes,No,Yes,Purchased the book,No,Yes
70,Male,White,Widowed,High school graduate,"$20,000 to under $30,000",Retired,45,Yes,Yes,No,Purchased the book,Yes,Yes
67,Male,White,Married,College graduate,"$40,000 to under $50,000",Employed part-time,45,Yes,Yes,No,Borrowed the book from a friend or family member,Yes,Yes
38,Male,White,Married,College graduate,"$100,000 to under $150,000",Employed full-time,45,Yes,No,Yes,Borrowed the book from a library,Yes,Yes
18,Female,White,Never been married,High school incomplete,"$10,000 to under $20,000",Employed part-time,45,Yes,No,No,Purchased the book,Yes,Yes
17,Male,White,Never been married,High school incomplete,"$50,000 to under $75,000",Not employed for pay,45,Yes,Yes,Yes,Got the book some other way,Yes,Yes
59,Male,White,Married,High school graduate,"$30,000 to under $40,000",Employed full-time,43,Yes,No,No,Purchased the book,Yes,No
27,Male,White,Married,College graduate,"$50,000 to under $75,000",Employed full-time,42,Yes,Yes,No,Purchased the book,Yes,Yes
73,Male,Refused,Married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Retired,40,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes
69,Male,Refused,Married,Post-graduate training/professional school after college,Refused,Retired,40,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,No
21,Male,Asian or Pacific Islander,Never been married,"Some college, no 4-year degree","Less than $10,000",Employed full-time,40,Yes,No,No,Purchased the book,No,No
23,Female,Black or African-American,Living with a partner,High school graduate,"$20,000 to under $30,000",Not employed for pay,40,No,No,No,Purchased the book,Yes,Yes
19,Male,Black or African-American,Never been married,"Some college, no 4-year degree","$50,000 to under $75,000",Employed part-time,40,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
83,Male,White,Married,High school incomplete,"$50,000 to under $75,000",Retired,40,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
80,Female,White,Widowed,High school graduate,Refused,Retired,40,Yes,No,No,Purchased the book,Yes,Yes
75,Female,White,Married,High school graduate,Refused,Retired,40,Yes,No,Yes,Borrowed the book from a library,Yes,No
74,Female,White,Married,"Some college, no 4-year degree","$30,000 to under $40,000",Employed part-time,40,Yes,No,Yes,Got the book some other way,Yes,Yes
69,Male,White,Widowed,Post-graduate training/professional school after college,"$50,000 to under $75,000",Retired,40,Yes,Yes,Yes,Got the book some other way,Yes,Yes
69,Male,White,Married,College graduate,"$100,000 to under $150,000",Retired,40,Yes,Yes,No,Borrowed the book from a library,No,Yes
68,Male,White,Married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Retired,40,No,Yes,No,Purchased the book,No,No
68,Female,White,Married,"Some college, no 4-year degree","$40,000 to under $50,000",Retired,40,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
66,Male,White,Married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Retired,40,Yes,No,Yes,Purchased the book,Yes,Yes
65,Male,White,Married,Post-graduate training/professional school after college,Refused,Employed part-time,40,Yes,No,No,Borrowed the book from a library,Yes,Yes
63,Female,White,Married,High school graduate,"$30,000 to under $40,000",Retired,40,Yes,No,Yes,Borrowed the book from a library,No,No
63,Female,White,Widowed,"Some college, no 4-year degree","$50,000 to under $75,000",Employed full-time,40,Yes,No,Yes,Purchased the book,Yes,No
63,Female,White,Married,"Some college, no 4-year degree","$50,000 to under $75,000",Employed full-time,40,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,Yes
63,Male,White,Married,"Some college, no 4-year degree","$100,000 to under $150,000",Employed full-time,40,Yes,No,No,Purchased the book,No,No
62,Male,White,Married,College graduate,"$75,000 to under $100,000",Retired,40,Yes,Yes,Yes,Purchased the book,Yes,Yes
60,Female,White,Married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Employed full-time,40,Yes,Yes,Yes,Purchased the book,Yes,No
58,Female,White,Married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Retired,40,Yes,No,No,Purchased the book,Yes,Yes
57,Male,White,Single,High school graduate,"9$100,000 to under $150,000",Not employed for pay,40,No,No,No,Purchased the book,No,Yes
55,Female,White,Married,Post-graduate training/professional school after college,"$50,000 to under $75,000",Employed full-time,40,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes
54,Female,White,Married,"Some college, no 4-year degree","$100,000 to under $150,000",Not employed for pay,40,Yes,Yes,Yes,Borrowed the book from a friend or family member,Yes,Yes
54,Male,White,Married,High school graduate,"$100,000 to under $150,000",Employed full-time,40,Yes,No,Yes,Borrowed the book from a friend or family member,No,Yes
54,Female,White,Married,"Some college, no 4-year degree","$75,000 to under $100,000",Employed part-time,40,Yes,No,Yes,Purchased the book,Yes,Yes
54,Female,White,Married,College graduate,"$100,000 to under $150,000",Employed full-time,40,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,Yes
53,Female,White,Married,College graduate,"$100,000 to under $150,000",Employed full-time,40,Yes,No,Yes,Got the book some other way,Yes,Yes
52,Female,White,Divorced,High school graduate,"Less than $10,000",Not employed for pay,40,No,No,No,Purchased the book,Yes,No
52,Male,White,Married,High school graduate,Refused,Employed full-time,40,Yes,No,Yes,Purchased the book,No,No
50,Male,White,Separated,"Some college, no 4-year degree","$75,000 to under $100,000",Employed full-time,40,Yes,No,Yes,Borrowed the book from a library,Yes,Yes
49,Male,White,Married,"Some college, no 4-year degree","$75,000 to under $100,000",Employed full-time,40,Yes,No,Yes,Purchased the book,Yes,No
47,Female,White,Married,"Some college, no 4-year degree","$30,000 to under $40,000",Employed full-time,40,Yes,No,No,Got the book some other way,Yes,No
46,Male,White,Living with a partner,College graduate,"$100,000 to under $150,000",Employed full-time,40,Yes,Yes,Yes,Purchased the book,Yes,Yes
45,Male,White,Married,"Some college, no 4-year degree","$50,000 to under $75,000",Employed full-time,40,No,No,Yes,Purchased the book,Yes,No
42,Male,White,Married,Post-graduate training/professional school after college,Refused,Employed full-time,40,Yes,Yes,Yes,Purchased the book,Yes,Yes
41,Male,White,Married,"Some college, no 4-year degree","$50,000 to under $75,000",Employed full-time,40,Yes,No,No,Borrowed the book from a library,Yes,No
39,Male,White,Married,College graduate,"$100,000 to under $150,000",Employed full-time,40,Yes,No,Yes,Got the book some other way,Yes,Yes
37,Male,White,Married,"Some college, no 4-year degree","$50,000 to under $75,000",Employed full-time,40,Yes,No,Yes,Got the book some other way,No,Yes
35,Male,White,Married,College graduate,"$20,000 to under $30,000",Not employed for pay,40,Yes,No,Yes,Purchased the book,Yes,No
35,Male,White,Married,"Some college, no 4-year degree","$100,000 to under $150,000",Employed full-time,40,Yes,No,Yes,Borrowed the book from a friend or family member,No,Yes
34,Female,White,Living with a partner,Post-graduate training/professional school after college,"$75,000 to under $100,000",Employed full-time,40,Yes,No,No,Got the book some other way,Yes,Yes
33,Female,White,Married,College graduate,"$75,000 to under $100,000",Not employed for pay,40,Yes,No,Yes,Borrowed the book from a library,No,Yes
33,Female,White,Married,College graduate,Refused,Not employed for pay,40,Yes,No,Yes,Borrowed the book from a library,Yes,Yes
32,Male,White,Never been married,"Some college, no 4-year degree","$50,000 to under $75,000",Employed full-time,40,Yes,Yes,Yes,Borrowed the book from a friend or family member,No,No
29,Male,White,Married,High school graduate,"$50,000 to under $75,000",Employed full-time,40,Yes,No,No,Got the book some other way,Yes,Yes
23,Male,White,Never been married,Post-graduate training/professional school after college,"$50,000 to under $75,000",Employed full-time,40,Yes,No,Yes,Purchased the book,No,Yes
22,Male,White,Never been married,"Some college, no 4-year degree","$75,000 to under $100,000",Employed full-time,40,Yes,No,No,Got the book some other way,Yes,Yes
20,Male,White,Never been married,"Some college, no 4-year degree","$10,000 to under $20,000",Employed part-time,40,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
19,Female,White,Never been married,"Some college, no 4-year degree","$50,000 to under $75,000",Employed part-time,40,Yes,No,No,Purchased the book,Yes,No
16,Female,White,Never been married,High school incomplete,"$75,000 to under $100,000",Not employed for pay,40,Yes,Yes,No,Purchased the book,Yes,No
16,Male,White,Never been married,High school incomplete,"$40,000 to under $50,000",Employed part-time,40,Yes,No,Yes,Purchased the book,No,Yes
22,Male,Mixed race,Living with a partner,High school graduate,"$40,000 to under $50,000",Employed part-time,38,Yes,Yes,Yes,Purchased the book,Yes,Yes
62,Female,White,Married,College graduate,"$50,000 to under $75,000",Other,37,Yes,Yes,Yes,Purchased the book,No,No
20,Female,Black or African-American,Never been married,High school incomplete,"$10,000 to under $20,000",Not employed for pay,36,Yes,No,No,Got the book some other way,No,No
86,Female,White,Married,High school graduate,"9$100,000 to under $150,000",Retired,36,Yes,No,No,Borrowed the book from a library,Yes,Yes
82,Female,White,Married,College graduate,Refused,Employed part-time,36,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
77,Female,White,Widowed,"Some college, no 4-year degree","$30,000 to under $40,000",Retired,36,Yes,No,No,Borrowed the book from a library,Yes,Yes
72,Female,White,Widowed,"Some college, no 4-year degree","$50,000 to under $75,000",Retired,36,Yes,No,No,Purchased the book,Yes,Yes
70,Male,White,Married,Post-graduate training/professional school after college,Refused,Retired,36,Yes,No,No,Borrowed the book from a library,No,No
64,Female,White,Married,"Some college, no 4-year degree","$75,000 to under $100,000",Employed full-time,36,Yes,No,No,Borrowed the book from a friend or family member,No,No
57,Female,White,Divorced,College graduate,Refused,Employed part-time,36,Yes,No,No,Purchased the book,Yes,Yes
55,Female,White,Married,"Some college, no 4-year degree","$10,000 to under $20,000",Disabled,36,Yes,No,Yes,Purchased the book,No,Yes
52,Male,White,Divorced,Post-graduate training/professional school after college,"$20,000 to under $30,000",Retired,36,Yes,No,No,Borrowed the book from a library,Yes,Yes
42,Female,White,Married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Employed full-time,36,No,No,Yes,Purchased the book,Yes,No
36,Female,White,Never been married,College graduate,"$50,000 to under $75,000",Not employed for pay,36,Yes,Yes,Yes,Purchased the book,Yes,Yes
36,Female,White,Married,College graduate,"$100,000 to under $150,000",Not employed for pay,36,Yes,Yes,Yes,Got the book some other way,Yes,Yes
30,Male,White,Married,"Some college, no 4-year degree","$50,000 to under $75,000",Employed full-time,36,Yes,No,No,Purchased the book,No,No
29,Female,White,Never been married,Post-graduate training/professional school after college,"$30,000 to under $40,000",Not employed for pay,36,Yes,Yes,No,Borrowed the book from a friend or family member,Yes,No
17,Female,White,Never been married,High school incomplete,"$50,000 to under $75,000",Not employed for pay,36,Yes,No,No,Purchased the book,Yes,Yes
74,Female,Refused,Widowed,Post-graduate training/professional school after college,"$100,000 to under $150,000",Employed full-time,35,Yes,Yes,Yes,Purchased the book,Yes,Yes
22,Male,Black or African-American,Never been married,"Some college, no 4-year degree","Less than $10,000",Employed part-time,35,Yes,No,No,Purchased the book,Yes,Yes
79,Male,White,Widowed,High school graduate,"$10,000 to under $20,000",Retired,35,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
72,Female,White,Widowed,Post-graduate training/professional school after college,"$75,000 to under $100,000",Employed part-time,35,Yes,Yes,No,Borrowed the book from a library,Yes,Yes
71,Female,White,Divorced,Post-graduate training/professional school after college,"$50,000 to under $75,000",Employed part-time,35,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
65,Female,White,Married,High school graduate,"$20,000 to under $30,000",Retired,35,No,No,Yes,Purchased the book,No,No
62,Female,White,Married,College graduate,"$30,000 to under $40,000",Retired,35,Yes,No,No,Purchased the book,No,Yes
58,Female,White,Married,College graduate,"$100,000 to under $150,000",Employed full-time,35,Yes,No,Yes,Purchased the book,Yes,Yes
51,Female,White,Divorced,College graduate,"$20,000 to under $30,000",Employed full-time,35,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
51,Male,White,Married,College graduate,"$50,000 to under $75,000",Employed full-time,35,Yes,No,Yes,Borrowed the book from a library,Yes,Yes
43,Female,White,Married,"Some college, no 4-year degree","$75,000 to under $100,000",Employed full-time,35,Yes,Yes,Yes,Purchased the book,Yes,Yes
42,Female,White,Married,College graduate,"$100,000 to under $150,000",Employed full-time,35,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,No
39,Female,White,Married,Post-graduate training/professional school after college,"$40,000 to under $50,000",Not employed for pay,35,Yes,No,Yes,Got the book some other way,Yes,Yes
33,Male,White,Married,Post-graduate training/professional school after college,"$75,000 to under $100,000",Employed full-time,35,Yes,Yes,No,Purchased the book,Yes,Yes
24,Male,White,Never been married,Post-graduate training/professional school after college,"$20,000 to under $30,000",Employed full-time,35,Yes,No,No,Borrowed the book from a friend or family member,No,No
57,Female,White,Divorced,"Some college, no 4-year degree","$100,000 to under $150,000",Disabled,32,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
39,Female,White,Married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Employed full-time,32,Yes,No,No,Purchased the book,Yes,Yes
28,Female,White,Married,"Some college, no 4-year degree","$10,000 to under $20,000",Employed part-time,32,Yes,No,No,Purchased the book,No,No
55,Male,Refused,Married,"Some college, no 4-year degree","$50,000 to under $75,000",Employed full-time,30,No,Yes,No,Purchased the book,No,No
